"Id@github","Link@linkedin","Confidence"
"leaena","leaena","79"
"FanyaYoung","fanyayoung","78"
"zumwalt","zumwalt","74"
"rebekahkwon","rebekahkwon","70"
"neocsr","neocsr","70"
"whitmanc","cwhitman8","66"
"Winslett","winslett","83"
"sinanuozdemir","sinanozdemir","70"
"darrenboyd","darrenboyd","78"
"darrylkuhn","darrylkuhn","70"
"animesh-garg","animeshgarg","75"
"colin-scott","colinrscott","73"
"colinkahn","colinkahn","70"
"colinlmcdonald","colinmcdonald2","70"
"colinmarc","colinman","73"
"colinskow","colinskow","70"
"colinsullivan","colinasullivan","70"
"ketankshukla","ketanshukla","70"
"zhiyiw","zhiyiwu","75"
"vivianhoang","vivianhoang","70"
"ultralame","ultralame","74"
"singhenso","singhenso","70"
"tongueroo","tongueroo","78"
"akbarahmed","akbarahmed","70"
"magneland","magneland","70"
"efremidze","efremidze","73"
"FarhadG","farhadg","73"
"espmartin","espmartin","70"
"martinemde","martinemde","74"
"aniruddhadas9","aniruddhadas9","74"
"AnirudhVyas","anirudhvyas","70"
"darylchang","darylchang","70"
"valgaze","valgaze","78"
"victorliu","victorjliu","70"
"victormejia","victormejia","75"
"mrdooz","mrdooz","70"
"sarahmei","sarahmei","78"
"sfalkoff","sarafalkoff","68"
"igorbarinov","igorbarinov","74"
"igorshapiro","igorshapiro","70"
"leegao","leegao","70"
"anishacharya","anishacharya2","74"
"cchamberlain","colechamberlain","70"
"colegeissinger","colegeissinger","74"
"botaohu","botaohu","76"
"alagappanr","alagappanv","70"
"Efren-Barragan","efrenbarragan","70"
"gene1wood","genewood","70"
"generhim","generhim","70"
"joelfrederico","joelfrederico","76"
"tommykho","tommyho","70"
"nicolewhite","nicolewhite2","74"
"nlacasse","nlacasse","70"
"yxiong","ylxiong","82"
"jacobjennings","jacobnjennings","74"
"jakecraige","jamescraige","70"
"eknowledger","eknowledger","70"
"jcarapia","jcarapia","70"
"LeeGar","leegar","70"
"alan-choi","alanchoi","70"
"alangpierce","alanpierce","75"
"alanhogan","alanhogan","70"
"ldong","ldong1","70"
"grantbow","grantbow","70"
"grantjenks","grantjenks","70"
"oshalygin","oshalygin","70"
"nelsonjchen","nelsonchen5","73"
"teddziuba","teddziuba","80"
"TedStudley","tedstudley","82"
"traytonwhite","traytonwhite","73"
"ankurdave","ankurdave","74"
"ehsalazar","ehsalazar","70"
"maksimu","maksimu","70"
"ijayasin","ijayasin","70"
"gjtrowbridge","gjtrowbridge","78"
"gmethvin","methvin","70"
"gosuri","gosuri","74"
"gregburek","gregburek","73"
"greggawatt","greggawatt","74"
"gregmoser","gregmoser","70"
"gregrperkins","gregperkins","70"
"gregsabo","gregasabo","70"
"gregspurrier","gregspurrier","73"
"gregsqueeb","gregsqueeb","70"
"grepory","grepory","78"
"gsmcwhirter","gsmcwhirter","74"
"minsoo91","minsoo1","70"
"a2lin","a2lin","70"
"ademars94","ademars94","70"
"AlexanderMonsanto","alexandermonsanto","73"
"AlexBravo","alesibravo","70"
"alexcastillo","alexcastillo1","70"
"alexebird","alexbird","70"
"alexflint","alexflint","84"
"alexglow","alexglow","77"
"alexhawkins","alexhawkinsme","74"
"alexrudy","alexrudy","74"
"alextsui05","alextsui","74"
"amuramoto","amuramoto","70"
"astephen2","astephen2","82"
"bitfyre","bitfyre","73"
"cyrusmith","cyrusmith","70"
"eggie5","eggie5","74"
"leishman","aleishman","70"
"LK4D4","lk4d4","72"
"ggrossman","ggrossman","73"
"aleclarson","alec-larson","70"
"jcmvbkbc","jcmvbkbc","70"
"maxbeatty","maxbeatty","78"
"MaxSchultz","maxschultz","74"
"chuckreynolds","chuckreynolds","74"
"vutran","vuhtran","70"
"tekknolagi","tekknolagi","70"
"malavbhavsar","malavbhavsar","70"
"tonytamsf","tonytamsf","78"
"dbhaskaran","dbhaskaran","70"
"harpreetsingh","harpreetsingh98","74"
"eileenconner","eileenconner","70"
"morganwallace","morganmwallace","74"
"bengolder","bgolder","69"
"benguillet","bguillet","74"
"benjaminhoffman","benjaminlhoffman","75"
"boertel","boertel","70"
"gleitz","gleitz","70"
"sdejean","sdejean","70"
"sebastiangeiger","sebastiangeiger","74"
"ssoudan","ssoudan","70"
